PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,TS_PCT,USG_PCT,OFF_RATING,DEF_RATING,NET_RATING,DEFLECTIONS,CONTESTED_SHOTS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS,THREE_RATE,AST_TOV,cluster,cluster_conf,p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,p_cluster_5,p_cluster_6,p_cluster_7,p_cluster_8,pc1,pc2
1631260,AJ Green,AJ,1610612749,MIL,25.0,73,44,29,0.603,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.5,0.1,0.0,2.2,0.7,7.4,3.1,13.8,0,0,14.6,86,62,188,164,220,310,298,353,77,112,37,470,486,180,497,326,374,291,408,352,467,520,136,394,278,83,342,281,44,318,1,0.621,0.123,114.0,107.6,6.4,0.97,3.29,0.07,0.4,0.89,0.42,0.54,0.8620689655172414,3.0,2,0.9632012377229473,3.864581798498245e-08,8.192153374536534e-21,0.9632012377229473,3.3363769189119026e-15,4.678561412229056e-25,0.03679872363028481,0.0,9.45185382904692e-13,4.515653331967988e-37,-2.9205093278076992,-1.744406806108499
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,51,33,18,0.647,28.4,5.2,9.7,0.531,1.5,3.4,0.436,2.8,3.5,0.81,1.6,3.3,4.8,3.2,1.4,0.5,0.3,0.7,1.6,2.7,14.7,5.9,26.0,3,0,25.6,275,166,345,101,120,113,139,79,171,219,24,73,76,196,91,163,136,118,147,382,290,84,277,89,98,26,127,134,44,124,1,0.65,0.186,122.5,113.0,9.5,0.94,3.24,0.0,0.75,1.78,0.41,0.37,0.3505154639175258,2.285714285714286,5,0.9997911218522694,7.600386736810801e-12,0.00020463693582564737,8.127559523054674e-25,4.241189355506204e-06,8.307406272298709e-13,0.9997911218522694,0.0,1.4098701004991696e-11,1.8844323194005638e-14,0.29156657231067074,-0.08582486064517006
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,45,29,16,0.644,24.9,4.3,8.4,0.507,1.9,4.3,0.431,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.8,0.4,0.5,2.5,1.7,12.0,4.4,21.2,0,0,21.4,318,212,369,102,182,153,173,116,104,151,34,151,194,33,256,179,195,342,306,210,231,182,52,169,147,53,193,281,44,180,1,0.653,0.171,120.1,111.5,8.5,1.29,5.07,0.16,0.31,0.71,0.47,0.38,0.5119047619047619,1.4999999999999998,5,0.9999998300185668,1.1127656051901739e-07,1.1430361006373414e-09,3.9064470156823994e-10,5.040907586425998e-14,1.6253032079713764e-13,0.9999998300185668,0.0,5.717097723039167e-08,6.471592708916747e-24,-0.6802761418540711,-0.385570287905571
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,76,62,14,0.816,22.9,4.7,9.6,0.488,1.7,4.5,0.383,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.9,0.8,0.2,0.5,1.3,0.9,12.0,6.8,21.5,2,0,21.4,51,4,392,25,216,137,142,156,136,144,125,262,282,140,171,218,203,246,274,205,327,170,349,326,146,14,187,159,44,177,1,0.596,0.2,120.7,106.6,14.2,1.75,4.45,0.01,0.38,0.84,0.51,0.38,0.46875,2.0,5,0.9998012420333537,3.1297065059733557e-06,9.511153884702477e-09,2.2854286541850912e-11,1.5430936239137556e-11,7.847895181343664e-11,0.9998012420333537,0.0,0.00019561863222198965,1.9272589589312456e-22,-0.6569084172634712,0.18468179202001578
1641737,Adem Bona,Adem,1610612755,PHI,22.0,58,12,46,0.207,15.6,2.3,3.3,0.703,0.0,0.0,0.0,1.2,1.7,0.67,1.6,2.6,4.2,0.5,1.1,0.4,1.2,0.2,2.2,1.6,5.8,-1.9,15.4,3,0,13.8,223,393,32,518,357,337,424,7,499,540,499,220,205,435,89,245,175,495,235,383,30,373,134,192,355,404,312,134,44,334,1,0.714,0.135,107.4,114.0,-6.6,1.09,5.38,0.0,2.17,5.02,0.26,0.96,0.0,0.45454545454545453,6,0.9999999999968558,9.035057979788351e-77,5.89710425378029e-49,3.5312653058340428e-149,3.142987571641518e-12,1.8441075887838344e-117,2.99111699107353e-85,0.9999999999968558,8.965639661416635e-177,2.2419349305051392e-28,3.9230146763683886,-4.922202872976042
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,36,31,5,0.861,16.6,2.5,5.1,0.495,0.6,1.7,0.383,0.8,1.0,0.829,0.5,1.4,1.9,1.8,0.8,0.7,0.1,0.3,1.9,1.5,6.5,3.5,13.0,1,0,12.4,370,186,495,15,339,305,324,147,340,368,128,300,330,145,378,418,417,243,309,248,443,299,199,197,322,75,355,198,44,358,1,0.587,0.159,110.0,100.2,9.7,1.33,2.25,0.08,0.14,0.36,0.31,0.19,0.33333333333333337,2.25,2,0.9999994921099582,3.408171450391443e-08,2.391624776676977e-20,0.9999994921099582,1.707834628973239e-14,2.846234901128699e-25,4.738078252559019e-07,0.0,4.859446795616155e-13,4.32836603024595e-33,-2.227211460921201,-2.082131773309733
201143,Al Horford,Al,1610612738,BOS,39.0,60,44,16,0.733,27.6,3.3,7.7,0.423,1.9,5.2,0.363,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.8,0.6,0.9,0.1,1.4,0.6,9.0,6.6,23.1,7,0,22.1,206,62,369,61,134,228,207,378,101,100,201,385,420,45,123,66,72,197,320,303,67,451,346,419,228,16,164,87,44,164,1,0.563,0.136,119.6,108.1,11.5,1.3,7.08,0.0,1.63,4.18,0.33,1.35,0.6753246753246753,2.625,3,0.9997347770256574,8.59145575262703e-34,0.0002652229738030405,7.400157399404595e-99,0.9997347770256574,4.32581500072687e-42,5.321547742008349e-13,0.0,8.028634674248934e-87,5.438434052284187e-15,1.142007016376676,-1.1967061383687523
202692,Alec Burks,Alec,1610612748,MIA,33.0,49,26,23,0.531,17.6,2.3,5.5,0.424,1.8,4.2,0.425,0.8,1.0,0.776,0.3,2.2,2.5,1.1,0.6,0.6,0.1,0.2,0.8,0.9,7.3,2.2,13.5,0,0,14.1,293,240,280,247,320,334,307,373,117,159,39,312,314,262,470,313,359,359,384,319,420,414,467,329,282,114,347,281,44,327,1,0.608,0.16,113.5,107.6,5.9,1.02,2.32,0.0,0.19,0.4,0.21,0.19,0.7636363636363637,1.8333333333333335,2,0.9999944065523402,2.6532482133026484e-06,4.747984743063222e-22,0.9999944065523402,2.6091608812867996e-16,2.19681959446537e-26,2.9401967206466137e-06,0.0,2.724985312825643e-12,8.941782268736433e-38,-3.030716416862981,-1.934553291672261
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,54,44,10,0.815,19.3,2.6,5.8,0.446,1.1,3.1,0.353,0.8,0.9,0.824,0.7,2.2,2.9,2.5,0.7,1.6,0.6,0.3,1.9,1.1,7.1,5.9,20.2,0,0,18.0,258,62,443,26,288,297,297,291,230,238,235,311,339,156,289,310,314,157,351,15,127,339,199,273,294,25,213,281,44,242,1,0.568,0.147,117.5,102.5,15.0,3.51,3.09,0.15,0.6,1.38,0.49,0.34,0.5344827586206897,3.5714285714285716,5,0.999999998400817,4.0972463713719404e-18,3.714938850181e-14,1.5991464368724781e-09,2.2278047652106516e-24,2.0160075588195584e-18,0.999999998400817,0.0,1.9719919318373116e-17,1.706952725735024e-31,-1.5351809338403277,0.3599572682894571
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,67,13,54,0.194,27.1,4.9,12.4,0.394,1.6,5.1,0.308,1.7,2.5,0.679,1.9,4.6,6.5,2.4,1.7,0.7,1.5,0.6,2.2,1.8,13.0,-8.1,29.2,10,0,27.8,147,382,8,527,144,125,87,455,159,107,365,141,125,427,65,75,66,164,111,270,14,137,127,152,125,559,105,62,44,106,1,0.482,0.23,102.7,116.4,-13.7,1.49,9.12,0.0,3.85,8.97,0.57,1.18,0.41129032258064513,1.411764705882353,3,0.9999989034032639,5.562100606365873e-181,6.836912716117807e-14,0.0,0.9999989034032639,3.6626149103529624e-166,1.230623514100492e-107,0.0,0.0,1.0965966701043335e-06,3.239744848090631,-0.7149367894956096
