team,archetype,player_count,vs_league_avg
ATL,Developmental Wings,2,-0.024
ATL,Two-Way Forwards,2,-0.051
ATL,Backup Facilitators,3,-0.077
ATL,Hustle Bigs,1,0.024
ATL,Primary Ball Handlers,1,0.057
ATL,3-and-D Wings,1,0.039
ATL,Rim Runners,1,-0.024
ATL,Secondary Scorers,2,0.008
ATL,Dominant Bigs,0,0.048
BKN,Developmental Wings,4,-0.27
BKN,Two-Way Forwards,0,0.102
BKN,Backup Facilitators,0,0.154
BKN,Hustle Bigs,2,-0.099
BKN,Primary Ball Handlers,0,0.134
BKN,3-and-D Wings,0,0.116
BKN,Rim Runners,0,0.053
BKN,Secondary Scorers,4,-0.238
BKN,Dominant Bigs,0,0.048
BOS,Developmental Wings,0,0.13
BOS,Two-Way Forwards,1,-0.009
BOS,Backup Facilitators,0,0.154
BOS,Hustle Bigs,1,-0.011
BOS,Primary Ball Handlers,3,-0.199
BOS,3-and-D Wings,3,-0.218
BOS,Rim Runners,1,-0.058
BOS,Secondary Scorers,0,0.162
BOS,Dominant Bigs,0,0.048
CHA,Developmental Wings,5,-0.287
CHA,Two-Way Forwards,0,0.102
CHA,Backup Facilitators,2,-0.013
CHA,Hustle Bigs,1,0.017
CHA,Primary Ball Handlers,2,-0.033
CHA,3-and-D Wings,0,0.116
CHA,Rim Runners,2,-0.113
CHA,Secondary Scorers,0,0.162
CHA,Dominant Bigs,0,0.048
CHI,Developmental Wings,2,-0.052
CHI,Two-Way Forwards,1,0.011
CHI,Backup Facilitators,1,0.063
CHI,Hustle Bigs,2,-0.081
CHI,Primary Ball Handlers,0,0.134
CHI,3-and-D Wings,2,-0.066
CHI,Rim Runners,0,0.053
CHI,Secondary Scorers,2,-0.02
CHI,Dominant Bigs,1,-0.043
CLE,Developmental Wings,1,0.039
CLE,Two-Way Forwards,0,0.102
CLE,Backup Facilitators,2,-0.028
CLE,Hustle Bigs,0,0.101
CLE,Primary Ball Handlers,2,-0.048
CLE,3-and-D Wings,3,-0.157
CLE,Rim Runners,1,-0.038
