TEAM_ABBREVIATION,0,1,2,3,4,5,6,7,8
ATL,2,2,3,1,1,1,1,2,0
BKN,4,0,0,2,0,0,0,4,0
BOS,0,1,0,1,3,3,1,0,0
CHA,5,0,2,1,2,0,2,0,0
CHI,2,1,1,2,0,2,0,2,1
CLE,1,0,2,0,2,3,1,1,1
DAL,2,1,2,1,1,0,2,2,1
DEN,2,1,0,0,1,2,0,1,1
DET,1,2,2,1,1,1,1,3,0
GSW,1,2,1,1,1,2,1,2,0
HOU,0,3,1,0,2,1,0,0,1
IND,1,1,3,1,1,1,0,2,0
LAC,0,0,2,1,3,2,1,1,0
LAL,0,0,3,2,3,2,1,0,0
MEM,1,2,2,2,1,0,0,2,0
MIA,1,0,2,1,1,3,0,3,1
MIL,0,1,3,1,1,0,0,2,1
MIN,0,3,1,0,1,1,1,1,0
NOP,3,0,2,3,2,0,1,2,1
NYK,0,2,4,1,1,0,0,1,1
OKC,0,1,1,0,2,7,0,0,1
ORL,2,1,0,2,4,0,0,1,0
PHI,2,1,4,2,2,0,1,1,0
PHX,2,0,3,0,2,1,3,1,0
POR,1,2,1,1,0,0,0,4,1
SAC,0,1,0,1,1,3,0,2,1
SAS,1,0,1,1,1,1,0,3,1
TOR,3,1,2,2,1,0,0,2,1
UTA,4,2,2,1,0,0,0,4,1
WAS,3,0,1,1,1,0,1,3,0
